T_fuente,T_sumidero,P_alta,P_baja,x_b,m_b,eta_t,eta_p,eps_hrvg,eps_reg,eps_cond,convergio,clasificacion,eta,Wnet,mensaje
394.15,278.15,3300.0,467.55742831996173,0.82,1.0,0.98,0.8,0.85,0.9,0.9,True,CORREGIBLE,0.17772371840580448,156.3284539427755,"T8=297.94 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=302.92655521970346, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,467.55742831996173,0.82,1.0,0.98,0.8,0.85,0.95,0.9,True,CORREGIBLE,0.1793011518249437,156.6141283449058,"T8=297.51 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=302.87242886233946, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,467.55742831996173,0.82,1.0,0.98,0.8,0.85,0.95,0.98,True,CORREGIBLE,0.17307334393159776,157.34840325652024,"T8=295.85 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=303.36788054871624, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3000.0,453.62047799006547,0.8,1.0,0.98,0.8,0.85,0.95,0.9,True,CORREGIBLE,0.1739811368824643,151.7819591802043,"T8=300.51 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=303.2301684881547, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3000.0,453.62047799006547,0.8,1.0,0.98,0.8,0.85,0.9,0.9,True,CORREGIBLE,0.172403451275972,151.5000755710895,"T8=301.00 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=303.28398278566556, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3000.0,438.91038328521944,0.78,1.0,0.98,0.8,0.85,0.95,0.9,True,CORREGIBLE,0.17498313861445036,145.36265196302,"T8=300.61 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=303.24190766079124, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3000.0,438.91038328521944,0.78,1.0,0.98,0.8,0.85,0.9,0.9,True,CORREGIBLE,0.173123416169801,145.050537834634,"T8=301.14 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=303.2998345882843, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3000.0,480.7936296816886,0.84,1.0,0.98,0.8,0.85,0.95,0.9,True,CORREGIBLE,0.17212390851235523,164.13689407050592,"T8=299.74 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=303.141680593966, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3000.0,493.41181613648234,0.86,1.0,0.98,0.8,0.85,0.95,0.9,True,CORREGIBLE,0.17123120303561692,170.059052873074,"T8=299.03 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=303.0574970721011, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3000.0,480.7936296816886,0.84,1.0,0.98,0.8,0.85,0.9,0.9,True,CORREGIBLE,0.17101761458278344,163.91427831859917,"T8=300.14 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=303.1875481858856, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3000.0,493.41181613648234,0.86,1.0,0.98,0.8,0.85,0.9,0.9,True,CORREGIBLE,0.1703233688383967,169.86563876181074,"T8=299.38 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=303.09941600378664, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3200.0,438.91038328521944,0.78,1.0,0.98,0.8,0.85,0.95,0.9,True,CORREGIBLE,0.1790532089207319,143.45630816800232,"T8=298.74 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=303.0276301426083, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3200.0,453.62047799006547,0.8,1.0,0.98,0.8,0.85,0.95,0.9,True,CORREGIBLE,0.178167302826302,150.4263571605313,"T8=298.64 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=303.0140820601246, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3200.0,438.91038328521944,0.78,1.0,0.98,0.8,0.85,0.9,0.9,True,CORREGIBLE,0.1769607129026016,143.1173638634719,"T8=299.26 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=303.0887302255959, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3200.0,453.62047799006547,0.8,1.0,0.98,0.8,0.85,0.9,0.9,True,CORREGIBLE,0.17639452173576217,150.11995641847994,"T8=299.12 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=303.07090793532046, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3200.0,493.41181613648234,0.86,1.0,0.98,0.8,0.85,0.95,0.9,True,CORREGIBLE,0.17567735240825352,170.28188195330839,"T8=297.18 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=302.8266141245549, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3200.0,480.7936296816886,0.84,1.0,0.98,0.8,0.85,0.95,0.9,True,CORREGIBLE,0.1764954473831483,163.84456606693658,"T8=297.88 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=302.9176471990136, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3200.0,493.41181613648234,0.86,1.0,0.98,0.8,0.85,0.9,0.9,True,CORREGIBLE,0.17465835211958214,170.0709532600855,"T8=297.53 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=302.87110383570683, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3200.0,480.7936296816886,0.84,1.0,0.98,0.8,0.85,0.9,0.9,True,CORREGIBLE,0.1752539836830075,163.6020858793311,"T8=298.27 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=302.966227292645, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3400.0,438.91038328521944,0.78,1.0,0.98,0.8,0.85,0.95,0.9,True,CORREGIBLE,0.1826745687967889,141.00272532661688,"T8=297.06 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=302.8207705549182, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3400.0,438.91038328521944,0.78,1.0,0.98,0.8,0.85,0.9,0.9,True,CORREGIBLE,0.18032805427782556,140.63593521556808,"T8=297.57 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=302.8851229054534, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3400.0,453.62047799006547,0.8,1.0,0.98,0.8,0.85,0.9,0.9,True,CORREGIBLE,0.17993470670595432,148.2003164523741,"T8=297.44 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=302.86609726524983, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3400.0,453.62047799006547,0.8,1.0,0.98,0.8,0.85,0.95,0.9,True,CORREGIBLE,0.18191932660744753,148.53216100358608,"T8=296.97 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=302.80618319693383, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3400.0,493.41181613648234,0.86,1.0,0.98,0.8,0.85,0.95,0.9,False,NO_CONVERGIO,,,"T_from_Ph(P, h, x): el motor teqp no cubre el estado pedido (ver TASK_CONTEXT 2026-09-18-validar-teqp-nh3h2o). Detalle: equilibrio no resoluble en T=477.02 K, P=3.4e+06 Pa, x=0.8666"
394.15,278.15,3400.0,493.41181613648234,0.86,1.0,0.98,0.8,0.85,0.9,0.9,False,NO_CONVERGIO,,,"T_from_Ph(P, h, x): el motor teqp no cubre el estado pedido (ver TASK_CONTEXT 2026-09-18-validar-teqp-nh3h2o). Detalle: equilibrio no resoluble en T=477.02 K, P=3.4e+06 Pa, x=0.8666"
394.15,278.15,3400.0,480.7936296816886,0.84,1.0,0.98,0.8,0.85,0.95,0.9,True,CORREGIBLE,0.1804574622716059,163.0355050103689,"T8=296.26 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=302.70368913481565, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3400.0,480.7936296816886,0.84,1.0,0.98,0.8,0.85,0.9,0.9,True,CORREGIBLE,0.17907019165089152,162.7723786833804,"T8=296.63 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=302.75505363314136, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3500.0,438.91038328521944,0.78,1.0,0.98,0.8,0.85,0.95,0.9,True,CORREGIBLE,0.18433023089842537,139.5764466808797,"T8=296.28 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=302.71931787681467, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3500.0,438.91038328521944,0.78,1.0,0.98,0.8,0.85,0.9,0.9,True,CORREGIBLE,0.18184730759867693,139.19517268830387,"T8=296.79 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=302.78533280088897, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3500.0,453.62047799006547,0.8,1.0,0.98,0.8,0.85,0.95,0.9,True,CORREGIBLE,0.18364660638282715,147.3898430897848,"T8=296.21 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=302.70447282278917, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3500.0,453.62047799006547,0.8,1.0,0.98,0.8,0.85,0.9,0.9,True,CORREGIBLE,0.18154873631578633,147.04479809584677,"T8=296.67 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=302.76596609945494, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3500.0,493.41181613648234,0.86,1.0,0.98,0.8,0.85,0.95,0.9,False,NO_CONVERGIO,,,"T_from_Ph(P, h, x): el motor teqp no cubre el estado pedido (ver TASK_CONTEXT 2026-09-18-validar-teqp-nh3h2o). Detalle: equilibrio no resoluble en T=475.33 K, P=3.5e+06 Pa, x=0.8666"
394.15,278.15,3500.0,493.41181613648234,0.86,1.0,0.98,0.8,0.85,0.9,0.9,False,NO_CONVERGIO,,,"T_from_Ph(P, h, x): el motor teqp no cubre el estado pedido (ver TASK_CONTEXT 2026-09-18-validar-teqp-nh3h2o). Detalle: equilibrio no resoluble en T=475.33 K, P=3.5e+06 Pa, x=0.8666"
394.15,278.15,3500.0,480.7936296816886,0.84,1.0,0.98,0.8,0.85,0.95,0.9,True,CORREGIBLE,0.18229968873788976,162.4455811889409,"T8=295.52 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=302.5995803224348, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3500.0,480.7936296816886,0.84,1.0,0.98,0.8,0.85,0.9,0.9,True,CORREGIBLE,0.18083497784870958,162.17175372598393,"T8=295.89 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=302.6523705682275, esperado=<= 281.150 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,800.0,0.82,1.0,0.9,0.8,0.85,0.75,0.8,True,CORREGIBLE,0.12659627126228212,105.87117207701763,"T8=319.40 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=305.41353371560086, esperado=<= 297.454 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,1000.0,0.82,1.0,0.9,0.8,0.85,0.75,0.8,True,CORREGIBLE,0.10998030155842736,91.91024322920012,"T8=326.92 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=306.1936698458727, esperado=<= 304.885 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,1200.0,0.82,1.0,0.9,0.8,0.85,0.75,0.8,True,CORREGIBLE,0.09519295169882208,79.45994551421148,"T8=333.39 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=312.3783231505072, esperado=<= 311.278 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,1400.0,0.82,1.0,0.9,0.8,0.85,0.75,0.8,True,CORREGIBLE,0.08178632672637619,68.1723435936687,"T8=339.09 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=317.8324693328973, esperado=<= 316.926 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,1200.0,0.82,1.0,0.98,0.8,0.85,0.95,0.9,True,CORREGIBLE,0.09953868364153032,86.69073864871466,"T8=328.40 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=311.5716361208291, esperado=<= 311.278 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,1000.0,0.82,1.0,0.98,0.8,0.85,0.95,0.9,True,CORREGIBLE,0.116240736613756,101.3207493484703,"T8=321.86 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=305.3935549253924, esperado=<= 304.885 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,800.0,0.82,1.0,0.98,0.8,0.85,0.95,0.9,True,CORREGIBLE,0.13609377526423758,118.74522960052745,"T8=314.25 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=304.22574248118315, esperado=<= 297.454 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,1000.0,0.82,1.0,0.98,0.8,0.85,0.95,0.98,True,CORREGIBLE,0.11058280839660072,100.4998748835652,"T8=320.05 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=304.9390539293228, esperado=<= 304.885 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,1200.0,0.82,1.0,0.98,0.8,0.85,0.95,0.98,True,KALINA,0.09461657626560586,85.98492412080378,"T8=326.53 K || KALINA: régimen Kalina genuino y admisible, sin fallas."
394.15,278.15,3300.0,1100.0,0.82,1.0,0.98,0.8,0.85,0.95,0.98,True,KALINA,0.10228420326684291,92.95517756541496,"T8=323.40 K || KALINA: régimen Kalina genuino y admisible, sin fallas."
394.15,278.15,3300.0,1000.0,0.82,1.0,0.98,0.8,0.85,0.95,0.9,True,CORREGIBLE,0.116240736613756,101.3207493484703,"T8=321.86 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=305.3935549253924, esperado=<= 304.885 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,1300.0,0.82,1.0,0.98,0.8,0.85,0.95,0.98,True,KALINA,0.08748694249697482,79.50435223277316,"T8=329.47 K || KALINA: régimen Kalina genuino y admisible, sin fallas."
394.15,278.15,3300.0,1300.0,0.82,1.0,0.95,0.8,0.85,0.95,0.98,True,KALINA,0.08469265210544741,76.96270018258771,"T8=329.61 K || KALINA: régimen Kalina genuino y admisible, sin fallas."
394.15,278.15,3300.0,1300.0,0.82,1.0,0.98,0.8,0.85,0.95,0.9,True,CORREGIBLE,0.09207117129225051,80.15800519183884,"T8=331.36 K || [CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=314.37360098853446, esperado=<= 314.182 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,1300.0,0.82,1.0,0.9,0.8,0.85,0.95,0.98,True,KALINA,0.08003504619078045,72.72654008054394,"T8=329.85 K || KALINA: régimen Kalina genuino y admisible, sin fallas."
394.15,278.15,3300.0,1400.0,0.82,1.0,0.9,0.8,0.85,0.9,0.98,True,KALINA,0.07318664681116946,67.05250957579929,"T8=333.05 K || KALINA: régimen Kalina genuino y admisible, sin fallas."
394.15,278.15,3300.0,1500.0,0.82,1.0,0.9,0.8,0.85,0.95,0.98,True,KALINA,0.06819648090182255,61.968528995260186,"T8=335.20 K || KALINA: régimen Kalina genuino y admisible, sin fallas."
394.15,278.15,3300.0,1150.0,0.82,1.0,0.9,0.8,0.85,0.95,0.98,True,KALINA,0.0900151274779215,81.79674022759937,"T8=325.42 K || KALINA: régimen Kalina genuino y admisible, sin fallas."
394.15,278.15,3300.0,1250.0,0.82,1.0,0.9,0.8,0.85,0.95,0.98,True,KALINA,0.08324433790615744,75.64312658813425,"T8=328.42 K || KALINA: régimen Kalina genuino y admisible, sin fallas."
394.15,278.15,3300.0,1200.0,0.82,1.0,0.9,0.8,0.85,0.95,0.98,True,KALINA,0.08656808676910824,78.66384366460358,"T8=326.95 K || KALINA: régimen Kalina genuino y admisible, sin fallas."
